Price,Close,High,Low,Open,Volume,lag_1,lag_2,rolling_mean
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,
2022-01-05,171.6867218017578,176.83967914737053,171.41189860813105,176.29003276011701,94537600,176.37832641601562,178.64564514160156,175.57023111979166
2022-01-06,168.82064819335938,172.05965199706762,168.46730205155964,169.50770597554322,96904000,171.6867218017578,176.37832641601562,172.29523213704428
2022-01-07,168.98751831054688,170.92110500332652,167.86859126297153,169.69421065393524,86709100,168.82064819335938,171.6867218017578,169.83162943522134
2022-01-10,169.00717163085938,169.31143906710747,165.06147477041716,165.95465755063788,106765600,168.98751831054688,168.82064819335938,168.93844604492188
2022-01-11,171.84375,171.9418925722171,167.66249900972133,169.13477238363146,76138300,169.00717163085938,168.98751831054688,169.9461466471354
2022-01-12,172.28538513183594,173.9048794399195,171.58851763266705,172.86447558364907,74805200,171.84375,169.00717163085938,171.0454355875651
2022-01-13,169.00717163085938,173.35527850038557,168.61455640929785,172.53080900021536,84505800,172.28538513183594,171.84375,171.0454355875651
2022-01-14,169.87091064453125,170.56777832766494,167.92749898971087,168.17287788763613,80440800,169.00717163085938,172.28538513183594,170.38782246907553
2022-01-18,166.66134643554688,169.35068950665382,166.27855596311068,168.33972966979056,90956700,169.87091064453125,169.00717163085938,168.51314290364584
2022-01-19,163.1573486328125,167.91770571060235,162.87271567304091,166.85766697028808,94815000,166.66134643554688,169.87091064453125,166.56320190429688
2022-01-20,161.4691162109375,166.54354975921092,161.14521428529383,163.8934607946357,91420500,163.1573486328125,166.66134643554688,163.76260375976562
2022-01-21,159.40792846679688,163.25546724898456,159.29996116779535,161.38076913756592,122848900,161.4691162109375,163.1573486328125,161.34479777018228
2022-01-24,158.63255310058594,159.2999915243486,151.8404666623007,157.06213706108227,162294600,159.40792846679688,161.4691162109375,159.83653259277344
2022-01-25,156.82655334472656,159.7514654895658,154.1175758189767,156.04133790955973,115798400,158.63255310058594,159.40792846679688,158.28901163736978
2022-01-26,156.73825073242188,161.3513717096446,154.9028210933392,160.4778233011423,108275300,156.82655334472656,158.63255310058594,157.39911905924478
2022-01-27,156.27691650390625,160.81151382611307,155.35428943492713,159.44720772831658,121954600,156.73825073242188,156.82655334472656,156.61390686035156
2022-01-28,167.18153381347656,167.20116831659928,159.79072343360525,162.64693708008207,179935700,156.27691650390625,156.73825073242188,160.06556701660156
2022-01-31,171.5492706298828,171.76520522888097,166.37667997036093,167.0146740043963,115541600,167.18153381347656,156.27691650390625,165.00257364908853
2022-02-01,171.38246154785156,171.608205971386,169.1249723822828,170.7935461214453,86213900,171.5492706298828,167.18153381347656,170.03775533040366
2022-02-02,172.58970642089844,172.62897543344508,170.1261075578704,171.51985796847407,84914300,171.38246154785156,171.5492706298828,171.8404795328776
2022-02-03,169.70404052734375,172.98231399971922,168.93845956073986,171.25483696595504,89418100,172.58970642089844,171.38246154785156,171.22540283203125
2022-02-04,169.4190216064453,171.09955797995624,167.73848523293438,168.72125118343195,82465400,169.70404052734375,172.58970642089844,170.5709228515625
2022-02-07,168.7016143798828,170.95214191132882,168.00384392494493,169.88093057527257,77251200,169.4190216064453,169.70404052734375,169.27489217122397
2022-02-08,171.8170166015625,172.32805922455944,168.4756025229789,168.77043538223953,74829200,168.7016143798828,169.4190216064453,169.97921752929688
2022-02-09,173.2419891357422,173.60560775677658,171.885767258212,173.01595715476017,71285000,171.8170166015625,168.7016143798828,171.2535400390625
2022-02-10,169.1536865234375,172.45578102776864,168.59351767675065,171.13887812913805,90865900,173.2419891357422,171.8170166015625,171.40423075358072
2022-02-11,165.73367309570312,170.09715694195197,165.14400744238606,169.3600823732159,98670700,169.1536865234375,173.2419891357422,169.37644958496094
2022-02-14,165.96957397460938,166.65750737065528,163.68954900963053,164.48558729618532,86185500,165.73367309570312,169.1536865234375,166.95231119791666
2022-02-15,169.8121337890625,169.969379951066,167.3159146994891,168.02350743268553,62527400,165.96957397460938,165.73367309570312,167.17179361979166
2022-02-16,169.57630920410156,170.35268789659128,167.1193937273566,168.88837586977738,61177400,169.8121337890625,165.96957397460938,168.45267232259116
2022-02-17,165.96957397460938,168.94735459992643,165.56663620127415,168.08251547585536,69589300,169.57630920410156,169.8121337890625,168.45267232259116
2022-02-18,164.41676330566406,167.6009157130797,163.32589238939244,166.893337952625,82772700,165.96957397460938,169.57630920410156,166.65421549479166
2022-02-22,161.48812866210938,163.81727946148703,159.35551308277192,162.1367428748668,91162800,164.41676330566406,165.96957397460938,163.9581553141276
2022-02-23,157.31138610839844,163.2865911526906,156.99689373984543,162.68710319648025,90009200,161.48812866210938,164.41676330566406,161.07209269205728
2022-02-24,159.9353485107422,160.04345337346268,149.3804359903009,149.9504420850254,141147500,157.31138610839844,161.48812866210938,159.57828776041666
2022-02-25,162.00900268554688,162.27433874391238,158.097582687372,161.0163992959612,91974200,159.9353485107422,157.31138610839844,159.75191243489584
2022-02-28,162.27432250976562,162.56915531871957,159.63067948265063,160.24982688187194,95056600,162.00900268554688,159.9353485107422,161.4062245686849
2022-03-01,160.38742065429688,163.72883431123614,159.17862257926774,161.86156976875884,83474400,162.27432250976562,162.00900268554688,161.55691528320312
2022-03-02,163.6894989013672,164.47571468295504,160.14171312084568,161.55689852854007,79724800,160.38742065429688,162.27432250976562,162.11708068847656
2022-03-03,163.36521911621094,165.99904029600498,162.6969453068408,165.56662077426103,76678400,163.6894989013672,160.38742065429688,162.480712890625
2022-03-04,160.3579559326172,162.69694424174432,159.30640391691654,161.6552144893565,83737200,163.36521911621094,163.6894989013672,162.47089131673178
2022-03-07,156.55465698242188,162.17608078588069,156.2991281758325,160.54468531235605,96418800,160.3579559326172,163.36521911621094,160.09261067708334
2022-03-08,154.72671508789062,160.07296568987567,153.11497909721768,156.0829372614916,131148300,156.55465698242188,160.3579559326172,157.2131093343099
2022-03-09,160.1417236328125,160.59380261054181,156.66273844037977,158.69705635061237,91454900,154.72671508789062,156.55465698242188,157.14103190104166
2022-03-10,155.78807067871094,157.6258383019349,153.29183663849042,157.43911036241218,105342000,160.1417236328125,154.72671508789062,156.88550313313803
2022-03-11,152.0634002685547,156.5349891936971,151.83736825574178,156.19101504721644,96970100,155.78807067871094,160.1417236328125,155.99773152669272
2022-03-14,148.02423095703125,151.46391244119621,147.51320336208943,148.83992865134607,108732100,152.0634002685547,155.78807067871094,151.95856730143228
2022-03-15,152.4171905517578,152.88892907582556,147.78837062747488,148.29939820148408,92964300,148.02423095703125,152.0634002685547,150.8349405924479
2022-03-16,156.83963012695312,157.24256780595263,151.79805049383225,154.34341096119434,102300200,152.4171905517578,148.02423095703125,152.42701721191406
2022-03-17,157.8518524169922,158.22530825376825,154.91339200388822,155.87649837703879,75615400,156.83963012695312,152.4171905517578,155.70289103190103
2022-03-18,161.1539764404297,161.6453594768953,157.00670241299437,157.74377696769278,123511700,157.8518524169922,156.83963012695312,158.61515299479166
2022-03-21,162.5298614501953,163.48314576119236,160.20069560988745,160.6920786569655,95811400,161.1539764404297,157.8518524169922,160.51189676920572
2022-03-22,165.91058349609375,166.50023417031582,162.06796436975657,162.6576150439786,81532000,162.5298614501953,161.1539764404297,163.1981404622396
2022-03-23,167.27659606933594,169.66471008875092,164.76070268413946,165.09485449821165,98062700,165.91058349609375,162.5298614501953,165.239013671875
2022-03-24,171.0701141357422,171.13889996970468,167.27663612578863,168.11197837145693,90131400,167.27659606933594,165.91058349609375,168.08576456705728
2022-03-25,171.70892333984375,172.25927004993568,169.77287259452683,170.88340327470584,80546200,171.0701141357422,167.27659606933594,170.01854451497397
2022-03-28,172.57369995117188,172.70144932243193,169.0357366736293,169.202805078983,90371900,171.70892333984375,171.0701141357422,171.78424580891928
2022-03-29,175.87583923339844,175.92496554492044,173.3009816876461,173.6449558432296,100589400,172.57369995117188,171.70892333984375,173.3861541748047
2022-03-30,174.70632934570312,176.51461532464543,173.6547624474948,175.4728856845117,92633200,175.87583923339844,172.57369995117188,174.38528951009116
2022-03-31,171.60079956054688,174.96185802360853,171.3944120690703,174.77513005413485,103049300,174.70632934570312,175.87583923339844,174.0609893798828
2022-04-01,171.30593872070312,171.86612253758457,168.97678810398756,171.03076544091473,78751300,171.60079956054688,174.70632934570312,172.53768920898438
2022-04-04,175.3647918701172,175.4139331761271,171.43372732246453,171.56149171892602,76468400,171.30593872070312,171.60079956054688,172.7571767171224
2022-04-05,172.0430450439453,175.22721286513178,171.4140752886788,174.44099692209318,73401800,175.3647918701172,171.30593872070312,172.90459187825522
2022-04-06,168.86871337890625,170.6376954902334,167.19801388325018,169.38957825115511,89058800,172.0430450439453,175.3647918701172,172.0921834309896
2022-04-07,169.17335510253906,170.37233093887772,166.9228273416991,168.21024852764788,77594700,168.86871337890625,172.0430450439453,170.02837117513022
2022-04-08,167.15869140625,168.81956860456353,166.28403012969582,168.81956860456353,76575500,169.17335510253906,168.86871337890625,168.40025329589844
2022-04-11,162.8935089111328,166.1169810703117,162.6478173441477,165.8025036623988,72246700,167.15869140625,169.17335510253906,166.40851847330728
2022-04-12,164.77056884765625,166.94247354315863,163.76814322121325,165.12436524547022,79265200,162.8935089111328,167.15869140625,164.94092305501303
2022-04-13,167.46334838867188,168.0923181339545,163.89591740962862,164.50522763279633,70618900,164.77056884765625,162.8935089111328,165.04247538248697
2022-04-14,162.44143676757812,168.318390097859,162.19574519009953,167.67958299892038,75329400,167.46334838867188,164.77056884765625,164.89178466796875
2022-04-18,162.2252197265625,163.72885077484435,160.75107046386879,161.09502962767093,69023900,162.44143676757812,167.46334838867188,164.0433349609375
